Case ID;RemainingTime[s];ElapsedTime[s];Activity;Resource;Start Timestamp;Complete Timestamp;Span;Work Order  Qty;Part Desc.;Worker ID;Report Type;Qty Completed;Qty Rejected;Qty for MRB;Rework
Case1;1538220.0;22740.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/01/29 23:24:00.000;2012/01/30 05:43:00.000;006:19;10;Cable Head;ID4932;S;1;0;0;
Case1;1534680.0;26280.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/01/30 05:44:00.000;2012/01/30 06:42:00.000;000:58;10;Cable Head;ID4932;D;1;0;0;
Case1;1532340.0;28620.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/01/30 06:59:00.000;2012/01/30 07:21:00.000;000:22;10;Cable Head;ID4167;S;0;0;0;
Case1;1519320.0;41640.0;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;2012/01/30 07:21:00.000;2012/01/30 10:58:00.000;003:37;10;Cable Head;ID4167;D;8;0;0;
Case1;1419000.0;141960.0;Turning & Milling Q.C.;Quality Check 1;2012/01/31 13:20:00.000;2012/01/31 14:50:00.000;001:30;10;Cable Head;ID4163;D;9;1;0;
Case1;1355580.0;205380.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/02/01 08:18:00.000;2012/02/01 08:27:00.000;000:09;10;Cable Head;ID0998;D;9;0;0;
Case1;262800.0;1298160.0;Lapping - Machine 1;Machine 1 - Lapping;2012/02/14 00:00:00.000;2012/02/14 01:15:00.000;000:00;10;Cable Head;ID4882;D;0;0;0;
Case1;258300.0;1302660.0;Lapping - Machine 1;Machine 1 - Lapping;2012/02/14 00:00:00.000;2012/02/14 01:15:00.000;000:00;10;Cable Head;ID4882;D;0;0;0;
Case1;230100.0;1330860.0;Lapping - Machine 1;Machine 1 - Lapping;2012/02/14 09:05:00.000;2012/02/14 10:20:00.000;000:00;10;Cable Head;ID4882;D;1;0;0;
Case1;228120.0;1332840.0;Lapping - Machine 1;Machine 1 - Lapping;2012/02/14 09:05:00.000;2012/02/14 09:38:00.000;000:33;10;Cable Head;ID4882;D;8;0;0;
Case1;213780.0;1347180.0;Round Grinding - Machine 3;Machine 3 - Round Grinding;2012/02/14 09:13:00.000;2012/02/14 13:37:00.000;004:24;10;Cable Head;ID4445;S;0;0;0;
Case1;207180.0;1353780.0;Round Grinding - Machine 3;Machine 3 - Round Grinding;2012/02/14 13:37:00.000;2012/02/14 15:27:00.000;001:50;10;Cable Head;ID4445;D;9;0;0;
Case1;61260.0;1499700.0;Final Inspection Q.C.;Quality Check 1;2012/02/16 06:59:00.000;2012/02/16 07:59:00.000;001:00;10;Cable Head;ID4493;D;0;0;0;
Case1;44220.0;1516740.0;Final Inspection Q.C.;Quality Check 1;2012/02/16 12:11:00.000;2012/02/16 16:12:00.000;004:01;10;Cable Head;ID4493;D;0;0;0;
Case1;31680.0;1529280.0;Final Inspection Q.C.;Quality Check 1;2012/02/16 12:43:00.000;2012/02/16 13:58:00.000;000:00;10;Cable Head;ID4493;D;9;0;0;
Case1;0.0;1560960.0;Packing;Packing;2012/02/17 00:00:00.000;2012/02/17 01:00:00.000;000:00;10;Cable Head;ID4820;D;9;0;0;
Case10;1432800.0;14340.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/17 07:01:00.000;2012/01/17 11:05:00.000;004:04;251;Spur Gear;ID3846;S;1;0;0;
Case10;1431900.0;15240.0;Turning Q.C.;Quality Check 1;2012/01/17 11:00:00.000;2012/01/17 11:15:00.000;000:15;251;Spur Gear;ID4618;D;0;0;0;
Case10;1400340.0;46800.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/17 19:24:00.000;2012/01/17 20:01:00.000;000:37;251;Spur Gear;ID4132;S;0;0;0;
Case10;1387020.0;60120.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/17 20:01:00.000;2012/01/17 23:43:00.000;003:42;251;Spur Gear;ID4132;D;17;0;0;
Case10;1362480.0;84660.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/17 23:49:00.000;2012/01/18 06:32:00.000;006:43;251;Spur Gear;ID4794;D;37;0;0;
Case10;1359360.0;87780.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/18 06:59:00.000;2012/01/18 07:24:00.000;000:25;251;Spur Gear;ID3846;D;4;0;0;
Case10;1321500.0;125640.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/18 16:33:00.000;2012/01/18 17:55:00.000;001:22;251;Spur Gear;ID4132;S;1;0;0;
Case10;1313760.0;133380.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/18 17:57:00.000;2012/01/18 20:04:00.000;002:07;251;Spur Gear;ID4132;D;3;0;0;
Case10;1276260.0;170880.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/18 20:10:00.000;2012/01/19 06:29:00.000;010:19;251;Spur Gear;ID4794;D;40;0;0;
Case10;1234260.0;212880.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/19 16:12:00.000;2012/01/19 18:09:00.000;001:57;251;Spur Gear;ID4132;S;1;0;0;
Case10;1227120.0;220020.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/19 18:10:00.000;2012/01/19 20:08:00.000;001:58;251;Spur Gear;ID4132;D;8;0;0;
Case10;1194600.0;252540.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/19 20:09:00.000;2012/01/20 05:10:00.000;009:01;251;Spur Gear;ID4794;D;40;0;0;
Case10;1016760.0;430380.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/22 02:42:00.000;2012/01/22 06:34:00.000;003:52;251;Spur Gear;ID4641;D;17;0;0;
Case10;1014420.0;432720.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/22 07:00:00.000;2012/01/22 07:13:00.000;000:13;251;Spur Gear;ID3846;D;3;0;0;
Case10;976380.0;470760.0;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;2012/01/22 09:02:00.000;2012/01/22 17:47:00.000;008:45;251;Spur Gear;ID3846;D;79;0;0;
Case10;916440.0;530700.0;Turning Q.C.;Quality Check 1;2012/01/23 07:54:00.000;2012/01/23 10:26:00.000;002:32;251;Spur Gear;ID4618;D;251;0;0;
Case10;741780.0;705360.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/01/25 09:31:00.000;2012/01/25 10:57:00.000;001:26;251;Spur Gear;ID4794;D;40;0;0;
Case10;734760.0;712380.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/01/25 11:00:00.000;2012/01/25 12:54:00.000;001:54;251;Spur Gear;ID4882;D;160;0;0;
Case10;730260.0;716880.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/01/25 13:22:00.000;2012/01/25 14:09:00.000;000:47;251;Spur Gear;ID4882;D;51;0;0;
Case10;561600.0;885540.0;Flat Grinding - Machine 11;Machine 11 - Grinding;2012/01/27 10:30:00.000;2012/01/27 13:00:00.000;002:30;251;Spur Gear;ID0998;D;100;0;0;
Case10;381240.0;1065900.0;Flat Grinding - Machine 11;Machine 11 - Grinding;2012/01/29 08:09:00.000;2012/01/29 15:06:00.000;006:57;251;Spur Gear;ID0998;D;100;0;0;
Case10;288060.0;1159080.0;Flat Grinding - Machine 11;Machine 11 - Grinding;2012/01/30 15:19:00.000;2012/01/30 16:59:00.000;001:40;251;Spur Gear;ID0998;D;51;0;0;
Case10;38640.0;1408500.0;Final Inspection Q.C.;Quality Check 1;2012/02/02 12:38:00.000;2012/02/02 14:16:00.000;001:38;251;Spur Gear;ID4618;D;250;1;0;
Case10;0.0;1447140.0;Packing;Packing;2012/02/03 00:00:00.000;2012/02/03 01:00:00.000;000:00;251;Spur Gear;ID4820;D;250;0;0;
Case100;2552760.0;2880.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/20 17:09:00.000;2012/02/20 17:57:00.000;000:48;18;Ballnut;ID4219;D;7;0;0;
Case100;2520360.0;35280.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/20 22:57:00.000;2012/02/21 02:57:00.000;004:00;18;Ballnut;ID4529;D;11;0;0;
Case100;2491200.0;64440.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/21 06:45:00.000;2012/02/21 11:03:00.000;004:18;18;Ballnut;ID4219;S;1;0;0;
Case100;2487300.0;68340.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/02/21 11:04:00.000;2012/02/21 12:08:00.000;001:04;18;Ballnut;ID4219;D;17;0;0;
Case100;2389980.0;165660.0;Turning & Milling Q.C.;Quality Check 1;2012/02/22 14:48:00.000;2012/02/22 15:10:00.000;000:22;18;Ballnut;ID4618;D;18;0;0;
Case100;849420.0;1706220.0;Laser Marking - Machine 7;Machine 7- Laser Marking;2012/03/11 11:05:00.000;2012/03/11 11:06:00.000;000:01;18;Ballnut;ID0998;D;18;0;0;
Case100;843480.0;1712160.0;Flat Grinding - Machine 11;Machine 11 - Grinding;2012/03/11 12:23:00.000;2012/03/11 12:45:00.000;000:22;18;Ballnut;ID0998;D;18;0;0;
Case100;841500.0;1714140.0;Lapping - Machine 1;Machine 1 - Lapping;2012/03/11 12:46:00.000;2012/03/11 13:18:00.000;000:32;18;Ballnut;ID4882;D;18;0;0;
Case100;678120.0;1877520.0;Round Grinding - Machine 3;Machine 3 - Round Grinding;2012/03/13 10:34:00.000;2012/03/13 10:41:00.000;000:07;18;Ballnut;ID4445;S;0;0;0;
Case100;661860.0;1893780.0;Round Grinding - Machine 3;Machine 3 - Round Grinding;2012/03/13 10:41:00.000;2012/03/13 15:12:00.000;004:31;18;Ballnut;ID4445;D;18;0;0;
Case100;411780.0;2143860.0;Grinding Rework - Machine 12;Machine 12 - Grinding;2012/03/16 11:30:00.000;2012/03/16 12:40:00.000;001:10;18;Ballnut;ID4872;D;0;0;0;
Case100;147420.0;2408220.0;Final Inspection Q.C.;Quality Check 1;2012/03/19 11:21:00.000;2012/03/19 14:06:00.000;002:45;18;Ballnut;ID4618;D;0;0;0;
Case100;21780.0;2533860.0;Packing;Packing;2012/03/21 00:00:00.000;2012/03/21 01:00:00.000;000:00;18;Ballnut;ID4820;D;18;0;0;
Case100;0.0;2555640.0;Final Inspection Q.C.;Quality Check 1;2012/03/21 07:02:00.000;2012/03/21 07:03:00.000;000:01;18;Ballnut;ID4618;D;18;0;0;
Case101;1054620.0;4560.0;Setup - Machine 8;Machine 8 - Turning & Milling;2012/03/13 18:47:00.000;2012/03/13 20:03:00.000;001:16;27;Housing;ID4219;S;0;0;0;
Case101;1043820.0;15360.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/13 20:38:00.000;2012/03/13 23:03:00.000;002:25;27;Housing;ID4219;S;0;0;0;
Case101;1041060.0;18120.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/13 23:04:00.000;2012/03/13 23:49:00.000;000:45;27;Housing;ID4219;B;0;0;0;
Case101;1036440.0;22740.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/13 23:50:00.000;2012/03/14 01:06:00.000;001:16;27;Housing;ID4219;D;7;0;0;
Case101;1017120.0;42060.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/14 01:06:00.000;2012/03/14 06:28:00.000;005:22;27;Housing;ID4794;D;17;0;0;
Case101;1012320.0;46860.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/14 07:02:00.000;2012/03/14 07:48:00.000;000:46;27;Housing;ID0997;D;3;0;0;
Case101;1000200.0;58980.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/14 07:49:00.000;2012/03/14 11:10:00.000;003:21;27;Housing;ID0997;S;0;0;0;
Case101;991800.0;67380.0;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;2012/03/14 11:11:00.000;2012/03/14 13:30:00.000;002:19;27;Housing;ID0997;D;27;0;0;
Case101;987120.0;72060.0;Turning & Milling Q.C.;Quality Check 1;2012/03/14 13:33:00.000;2012/03/14 14:48:00.000;000:00;27;Housing;ID4618;D;27;0;0;
Case101;914700.0;144480.0;Flat Grinding - Machine 11;Machine 11 - Grinding;2012/03/15 09:55:00.000;2012/03/15 10:55:00.000;001:00;27;Housing;ID0998;D;27;0;0;
Case101;217200.0;841980.0;Lapping - Machine 1;Machine 1 - Lapping;2012/03/23 11:00:00.000;2012/03/23 12:40:00.000;001:40;27;Housing;ID0998;D;21;0;0;
Case101;90900.0;968280.0;Round Grinding - Machine 12;Machine 12 - Grinding;2012/03/24 22:15:00.000;2012/03/24 23:45:00.000;001:30;27;Housing;ID4528;S;0;0;0;
